z	H	H_err	Method	Reference	arXiv
0.07	69.0	19.6	F	Zhang14	1207.4541
0.09	69	12	F	Simon05	astro-ph/0412269
0.12	68.6	26.2	F	Zhang14	1207.4541
0.17	83	8	F	Simon05	astro-ph/0412269
0.179	75	4	D	Moresco12a	1201.3609
0.199	75	5	D	Moresco12a	1201.3609
0.20	72.9	29.6	F	Zhang14	1207.4541
0.27	77	14	F	Simon05	astro-ph/0412269
0.28	88.8	36.6	F	Zhang14	1207.4541
0.352	83	14	D	Moresco12a	1201.3609
0.38	83	13.5	D	Moresco16b	1601.01701
0.4	95	17	F	Simon05	astro-ph/0412269
0.4004	77	10.2	D	Moresco16b	1601.01701
0.425	87.1	11.2	D	Moresco16b	1601.01701
0.445	92.8	12.9	D	Moresco16b	1601.01701
0.47	89.0	49.6	F	Ratsimbazafy17	1702.00418
0.4783	80.9	9	D	Moresco16b	1601.01701
0.48	97	62	F	Stern10	0907.3149
0.593	104	13	D	Moresco12a	1201.3609
0.68	92	8	D	Moresco12a	1201.3609
0.75	98.8	33.6	L	Borghi21a	2110.04304
0.781	105	12	D	Moresco12a	1201.3609
0.875	125	17	D	Moresco12a	1201.3609
0.88	90	40	F	Stern10	0907.3149
0.9	117	23	F	Simon05	astro-ph/0412269
1.037	154	20	D	Moresco12a	1201.3609
1.3	168	17	F	Simon05	astro-ph/0412269
1.363	160	33.6	D	Moresco15	1503.01116
1.43	177	18	F	Simon05	astro-ph/0412269
1.53	140	14	F	Simon05	astro-ph/0412269
1.75	202	40	F	Simon05	astro-ph/0412269
1.965	186.5	50.4	D	Moresco15	1503.01116